pub_id,title,doi,publication_year,openalex_url,original,total_score,F,A,I,R-formats,R protocols,R script,R variables,R License,Notes
J0CGOY,Epibiont communities on mussels in relation to parasitism and location in the rocky intertidal zone,https://doi.org/10.1093/femsec/fiae101,2024,https://openalex.org/W4401557023,yes,3.1,0.5,1,1,0.2,0.2,0.2,0,0,"unstructured in methods, no hyperlink, but accession code given which resulted in immediate search success at named database, FASTQ standard text format freely downloadable for raw data, usable data is programmatically generated, variables are not well described, only by context and comments in script and requires good knowledge of technique, various licenses are discussed on repository but is unclear which applies to this dataset, article itself is CC-BY"
3M7H2G,No Effect of Realistic Concentrations of Polyester Microplastic Fibers on Freshwater Zooplankton Communities,https://doi.org/10.1002/etc.5797,2023,https://openalex.org/W4389140566,yes,3.8,1,1,1,0.2,0.2,0,0.2,0.2,"data is available on dryad with doi indicated, but not as a working hyperlink. CSV format. Variables described, on the edge of “fulsomly”, but I gave it. CC0 license on dryad page"
R0VDLY,Ecological and environmental context shape the differential effects of a facilitator in its native and invaded ranges,https://doi.org/10.1002/ecy.3478,2021,https://openalex.org/W3179826834,yes,4,1,1,1,0.2,0.2,0.2,0.2,0.2,"Paper is not open-access. Structured statement under “Open Science” header to data on figshare and code on zenodo. Data is CSV. Collection details are in paper but not data .zip except as abstract. License is specified as CCBY on Figshare, but “Other (Open)” with no details on Zenodo for code"
MJCM5M,Genomic divergence and introgression between cryptic species of a widespread North American songbird,https://doi.org/10.1111/mec.17169,2023,https://openalex.org/W4388232027,yes,3.8,1,1,1,0.2,0.2,0.2,0.2,0,"Paper is not open access. Structured statement. Working link to Dryad with script described as example. Unknown if complete, as testing would require significant DRAC time. Script is well annotated. Full files are on repository requiring search by id number given in paper, not a hyperlink. Data is given in standard genetic formats. Brief collection protocols in metadata, detailed in paper. Description of data is brief but complete as it is only genetic data. Dryad data is CC0, but NCBI license is not immediately apparent. My understanding is NCBI data is under a US govt open license, but couldnt confirm this with searching."
YQOMDB,Quantifying impacts of recreation on elk (<i>Cervus canadensis</i>) using novel modeling approaches,https://doi.org/10.1002/ecs2.4873,2024,https://openalex.org/W4399828447,yes,3.8,1,1,1,0.2,0.2,0,0.2,0.2,Structured statement with working DOI hyperlink. Data in CSV. Metadata with great variable descriptions. Also describes R scripts that are missing from repo. CC0
0FWV9J,Kleptoparasites of social spider colonies do not track hosts' subdivided population structure,https://doi.org/10.1111/mec.16718,2022,https://openalex.org/W4302424781,yes,3.8,1,1,1,0.2,0.2,0.2,0.2,0,Paper is not open-access. Structured statement requiring search on NCBI but with project number and immediate result. Code and more data on Zenondo -> CC0. Data in standard/open genetic formats and CSVs. Collection protocols are in paper only. Question about NCBI license as per previous papers. Variables are described in NCBI metadata.
AJCITV,"Quantifying throughfall, stemflow and interception loss in five vegetation communities in a maritime raised bog",https://doi.org/10.1016/j.agrformet.2022.109202,2022,https://openalex.org/W4307029833,yes,0.2,0,0,0,0,0.2,0,0,0,Paper is not open-access. Structured statement that data is held by govt bodies. No reference or pointer to find it. Collection protocols in paper.
Y6WJ1C,Using accelerometry tags to quantify gray whale foraging behavior,https://doi.org/10.1111/mms.13210,2024,https://openalex.org/W4404872509,yes,0.4,0,0,0,0,0.2,0.2,0,0,"Data not available, R script as sup mat. Collection protocols in paper and R script for processing with comments."
JH6EM1,Spatio-temporal patterns in coral reef composition and function across an altered environmental gradient: A 15-year study in the Caribbean,https://doi.org/10.3389/fmars.2022.977551,2023,https://openalex.org/W4313584893,yes,2.4,1,0,1,0.2,0.2,0,0,0,"Major section of data restricted and good reasons given. Access protocols are vague, simply “upon request”. Subset of data provided is in open formats (e.g. CSV). Some data reused from other authors is CC0. Unclear license and no script for most data that is attached as sup mat."
HV8US8,Hyperabundant black-tailed deer impact endangered Garry oak ecosystem floral and bumblebee communities,https://doi.org/10.1016/j.gecco.2022.e02237,2022,https://openalex.org/W4286675749,yes,0.2,0,0,0,0,0.2,0,0,0,Structured statement saying available on request without explanation. Collection protocols in paper.
QOUIZX,Interannual climatic sensitivity of surface energy flux densities and evapotranspiration in a disturbed and rewetted ombrotrophic bog,https://doi.org/10.1016/j.agrformet.2025.110501,2025,https://openalex.org/W4408853494,yes,1,1,0,0,0,0,0,0,0,"Structured statement requiring a quick search by project ID. Much data is govt and unavailable with no project ID. Data that is available is good, in CSV, with clear CC-BY license. Collection protocols are in paper. Variables are not described in metadata. No script attached anywhere."
A4ZMZ1,Nomadic breeders Snowy Owls (<i>Bubo scandiacus</i>) do not use stopovers to sample the summer environment,https://doi.org/10.1111/ibi.12950,2021,https://openalex.org/W3136340045,yes,0,0,0,0,0,0,0,0,0,"Paper is not open access. Required search on repo. Only one of two projects could be found. Data download link on repo says no data available for download, but data is visible on map view. No script. No license on data page (field is Custom and ‘Not set’)"
F75IPQ,Summer distribution and habitat preference of beluga whale social groups in the Eastern Beaufort Sea,https://doi.org/10.1139/as-2022-0035,2023,https://openalex.org/W4322622986,yes,0,0,0,0,0,0,0,0,0,"No data available, no explanation."
QQ86EY,"Overview of Brine-Hosted Lithium Mineral Resources, Distribution, and Genesis in the Western Canada Sedimentary Basin",https://doi.org/10.3749/2400035,2025,https://openalex.org/W4412735071,yes,0.2,0,0,0,0,0.2,0,0,0,"No data or scripts available. Statement in text that it is available as sup mat, but not able to be found. Collection protocols are in paper."
V0W1WV,Impact of water stress on &lt;i&gt;Phaeomoniella chlamydospora&lt;/i&gt; abundance and Petri disease symptom development in young grapevines,https://doi.org/10.20870/oeno-one.2025.59.1.8317,2025,https://openalex.org/W4406034533,yes,0.2,0,0,0,0,0.2,0,0,0,"Summary statistics of variables are given in sup matt, but no raw data."
GFVZEA,Modelling growing season carbon fluxes at a low-center polygon ecosystem in the Mackenzie River Delta,https://doi.org/10.1139/as-2022-0033,2023,https://openalex.org/W4377087162,yes,3.1,0.5,1,1,0.2,0.2,0.2,0,0,Data is available by following an unstructured statement to a previous paper that contains the data incl a structured statement. Data is on GitHub as .csv and other standard formats like shape files. Scripts are chaotic but there. No metadata to explain variables or license.
FO2DED,Functional characteristics of zooplankton bioregions along the cross-shelf gradient,https://doi.org/10.1016/j.pocean.2025.103559,2025,https://openalex.org/W4413449454,yes,1.8,0,0,1,0.2,0.2,0.2,0,0.2,"Structured statement, but two of three links are broken. Data in the third link is not complete. Scripts in third link point to files that are not available. Data that is there is in .csv formats. Output data is .Rdata files. Collection protocols are in paper. Data processing is by scripts (which are broken without other data links). No metadata to describe variables. Available data has CC license."
JWDP8N,Combining camera trap surveys and IUCN range maps to improve knowledge of species distributions,https://doi.org/10.1111/cobi.14221,2023,https://openalex.org/W4388499228,yes,2.3,0.5,0,1,0.2,0.2,0,0.2,0.2,"Unstructured statement in methods about data sourced from previous papers. One of those papers has a structured statement linking to multiple repos. Second linked paper does not have available data. Data that can be found is in ope source formats like csv. Link for code doesnt actually have code, just a random csv. Does have a CC0 license."
XMPVDB,Investigating properties of sweet cherry (<i>Prunus avium</i>) flower buds that help promote freezing avoidance by supercooling,https://doi.org/10.1111/plb.13697,2024,https://openalex.org/W4401783365,yes,3.6,1,1,1,0.2,0.2,0,0,0.2,Structured statement indicating presence in supp mat. Present and in .csv format. No script or metadata. License presumed as same as article which is clearly marked CC.
W7GLF6,Estimating abundance of Eastern Canada-West Greenland bowhead whales using genetic mark-recapture analyses,https://doi.org/10.1016/j.gecco.2023.e02524,2023,https://openalex.org/W4378189281,yes,0.8,0,0,0,0,0.2,0.2,0.2,0.2,"Structured statement as “available upon reasonable request”. Supp mat includes some data and a brief R script as a .docx file. It might be all the data, but somewhat unclear. The sole variable is described for that data, and presumed to be under same licesne as article (CC-BY)"
VBVXBA,"Intertidal beach habitat suitability model for Pacific sand lance (<i>Ammodytes personatus</i>) in the Salish Sea, Canada",https://doi.org/10.1139/cjfas-2021-0335,2022,https://openalex.org/W4281254065,yes,0.7,0.5,0,0,0,0.2,0,0,0,"Unstructured statements in text about sourcing data from previous papers. At least one data is unpublished DFO data, but only constititutes a single cariable in their modelling. Primary source is inaccessible behind a login with no indication of how to get access."
3KDYC4,"The cold tolerance of the terrestrial slug, Ambigolimax valentianus",https://doi.org/10.1007/s00359-025-01730-z,2025,https://openalex.org/W4406274889,yes,3.8,1,1,1,0.2,0.2,0.2,0.2,0,Structured statement linking to GitHub. Data freely available in csv. Variables well described. Collection protocols are in paper and link back provided. Scripts provided. No license provided on GitHub.
NQTETG,The fitness landscape of a community of Darwinâs finches,https://doi.org/10.1093/evolut/qpad160,2023,https://openalex.org/W4386466865,yes,4,1,1,1,0.2,0.2,0.2,0.2,0.2,Structured statement linking to Borealis. USE THIS ONE AS A GOOD EXAMPLE!
TYO40B,Temporal and spatial evolution of bottom-water hypoxia in the StÂ Lawrence estuarine system,https://doi.org/10.5194/bg-20-839-2023,2023,https://openalex.org/W4321787630,yes,3.4,1,1,1,0.2,0.2,0,0,0,"Structured statement, much data is restricted but with access method clearly stated. Data is in CSV. No scripts, metadata, or license given."
AKWYAK,"Weather and catchment morphology drive thermal regime variation among subarctic ponds, and possible effects on resident Arctic charr",https://doi.org/10.1007/s10452-026-10269-3,2026,https://openalex.org/W7135049694,yes,3.8,1,1,1,0.2,0.2,0.2,0,0.2,Structured statement to OSF. Everything available in CSV. MIT license. No metadata. R scripts/
7XDQWL,Individual Prey Specialization Drives PCBs in Icelandic Killer Whales,https://doi.org/10.1021/acs.est.0c08563,2021,https://openalex.org/W3137757793,no,1.7,0.5,1,0,0,0.2,0,0,0,"Unstructured statements in text to supp mat. Data is in a table there in a pdf, so not interoperable. Protocols in paper. No script or metadata. No license."
XPEDN0,Seasonal dynamics and optimal diagnostics of<i>Grapevine red blotch virus</i>in a British Columbian vineyard,https://doi.org/10.1080/07060661.2021.1993346,2021,https://openalex.org/W3205334821,yes,0.2,0,0,0,0,0.2,0,0,0,No data made available. Collection protocols in paper.
3ZAMR4,A basic community dynamics experiment: Disentangling deterministic and stochastic processes in structuring ecological communities,https://doi.org/10.1002/ece3.9568,2022,https://openalex.org/W4310672748,no,3.8,1,1,1,0.2,0.2,0,0.2,0.2,"Structured statement to Dryad. Data is .csv. Good metadata, CC0 on Dryad."
A8AS63,Strong scaleâdependent relationships between fineâroot function and soil properties uncovered with spatially coupled sampling,https://doi.org/10.1111/nph.70143,2025,https://openalex.org/W4409974870,yes,3.8,1,1,1,0.2,0.2,0,0.2,0.2,Structured statement pointing to supp mat. Everything open-access. Data in .csv. No script for analysis. Collection protocols in paper. Good variable description. Presumed supp mat has same license as paper (CC-BY)
A415C6,Game over for gamefishes after zebra and quagga mussel invasion: not in prairie lakes?,https://doi.org/10.1139/cjfas-2025-0028,2025,https://openalex.org/W4417408600,yes,0.2,0,0,0,0,0.2,0,0,0,No data made available. Collection protocols in paper.
LXXDPU,Movement ecology of endangered caribou during a <scp>COVID</scp>â19 mediated pause in winter recreation,https://doi.org/10.1111/acv.12912,2023,https://openalex.org/W4387895246,yes,3.8,1,1,1,0.2,0.2,0.2,0,0.2,Structured statement with link to a Github. Some data restricted. General access protocols (relevant govt dept) identified. Data that is available is .csv. CC0 license on github. No metadata. Scripts included.
2OLAHP,"Experimentally derived trophic enrichment and discrimination factors for Chinook salmon, <scp> <i>Oncorhynchus tshawytscha</i> </scp>",https://doi.org/10.1002/rcm.9092,2021,https://openalex.org/W3144995884,no,2.4,1,1,0,0.2,0.2,0,0,0,"Structured statement pointing to supp mat. Data is in a table in a .docx. Collection protocols in paper. No script provided. No metadata. No clear license, presumed same as paper (closed access)"
QEJPFN,Plant-Pollinator Specialization: Origin and Measurement of Curvature,https://doi.org/10.1086/717677,2021,https://openalex.org/W3205813039,yes,3.6,1,1,1,0.2,0.2,0,0,0.2,Structured statement to Dryad. Data is .csv and other open formats. No scripts despite text saying there was. No metadata describing variables. CC0. Collection protocols in paper
BHIRGB,Crowd-sourced observations of a polyphagous moth reveal evidence of allochronic speciation varying along a latitudinal gradient,https://doi.org/10.1371/journal.pone.0288415,2023,https://openalex.org/W4384161835,yes,3.6,1,1,1,0.2,0.2,0.2,0,0,"Both unstructured statement in text, but also a structured “tag” on the paper that data is available with working hyperlink to OSF. Had to switch from OSF storage to Github in files. Data is .csv. No data dictionary. License field is “no license”."
TLL4FA,"A new species of Sisyra Burmeister, 1839 (Neuroptera: Sisyridae) from Peru, with identification key to the Neotropical species of the genus",https://doi.org/10.1590/1806-9665-rbent-2022-0051,2022,https://openalex.org/W4312270662,yes,0,0,0,0,0,0,0,0,0,No data linked. ZooBank link is just citation info.
K7BFTR,Species Loss Scenarios Identify Canada's Northern Ecosystems as Disproportionately Vulnerable,https://doi.org/10.1111/jbi.70139,2026,https://openalex.org/W7123352686,yes,3.8,1,1,1,0.2,0.2,0.2,0,0.2,Structured statement leading to Figshare with everything. Data is all .csv. Script included. CCBY license on figshree. No data dictionary.
V5D7TV,Patterns of functional diversity along latitudinal gradients of species richness in eleven fish families,https://doi.org/10.1111/geb.13633,2023,https://openalex.org/W4319834864,yes,3.8,1,1,1,0.2,0.2,0.2,0,0.2,Structured statement leading to Dryad for data and Figshare for code. TPS is open format for landmark data and also given in txt format. Collection protocols in paper. CC0 license on dryad and github. Scripts given. No data dictionar.
BRJRAI,Modeling Mycorrhizal Carbon Costs in Temperate Forests: The Impacts of Functional Diversity and Global Change Factors,https://doi.org/10.1029/2025jg009198,2025,https://openalex.org/W4415313587,yes,4,1,1,1,0.2,0.2,0.2,0.2,0.2,Structured statement leading to accessible repo. Data in .csv. Python scripts included. Collection protocols in paper.  Structured XML metadata including variable descriptions. License statement for CCBY.
