pub_id,title,doi,publication_year,openalex_url,original,Findable,Accessible,Interoperable,Reusable_File formats are identified,Reusable: Collection protocols are noted,Reusable: Includes scripted data processing,Reusable: Variables are fulsomely described,"Reusable: A publicly sourced license is attached, or a bespoke license is included with a lay summary",total,Notes
J0CGOY,Epibiont communities on mussels in relation to parasitism and location in the rocky intertidal zone,https://doi.org/10.1093/femsec/fiae101,2024,https://openalex.org/W4401557023,yes,0,0,0,0,0,0,0,0,0,"supplementary data are listed and link works, but it just contains the supplementary tables and figures, no raw data"
3M7H2G,No Effect of Realistic Concentrations of Polyester Microplastic Fibers on Freshwater Zooplankton Communities,https://doi.org/10.1002/etc.5797,2023,https://openalex.org/W4389140566,yes,1,1,1,0.2,0.2,0,0.2,0.2,3.8,
R0VDLY,Ecological and environmental context shape the differential effects of a facilitator in its native and invaded ranges,https://doi.org/10.1002/ecy.3478,2021,https://openalex.org/W3179826834,yes,1,1,1,0.2,0,0.2,0.2,0.2,3.8,"lots of metadata in the figshare and zenodo, but there wasn't really any description of the methods "
MJCM5M,Genomic divergence and introgression between cryptic species of a widespread North American songbird,https://doi.org/10.1111/mec.17169,2023,https://openalex.org/W4388232027,yes,1,1,1,0.2,0.2,0.2,0,0.2,3.8,"I based my scores on the dryad repository linked in the data statement, but other sequence data are also mentioned"
YQOMDB,Quantifying impacts of recreation on elk (<i>Cervus canadensis</i>) using novel modeling approaches,https://doi.org/10.1002/ecs2.4873,2024,https://openalex.org/W4399828447,yes,1,1,1,0.2,0.2,0.2,0.2,0.2,4,
0FWV9J,Kleptoparasites of social spider colonies do not track hosts' subdivided population structure,https://doi.org/10.1111/mec.16718,2022,https://openalex.org/W4302424781,yes,1,1,1,0.2,0,0.2,0.2,0.2,3.8,
AJCITV,"Quantifying throughfall, stemflow and interception loss in five vegetation communities in a maritime raised bog",https://doi.org/10.1016/j.agrformet.2022.109202,2022,https://openalex.org/W4307029833,yes,0,0,0,0,0,0,0,0,0,
Y6WJ1C,Using accelerometry tags to quantify gray whale foraging behavior,https://doi.org/10.1111/mms.13210,2024,https://openalex.org/W4404872509,yes,0,0,0,0,0,0,0,0,0,
JH6EM1,Spatio-temporal patterns in coral reef composition and function across an altered environmental gradient: A 15-year study in the Caribbean,https://doi.org/10.3389/fmars.2022.977551,2023,https://openalex.org/W4313584893,yes,1,1,1,0,0,0,0,0,3,"csv of data provided in supplement, but no metadata. Also states that ""Estimates of missing trait values are in bold"" but csv files donšt save font features (so nothing is bolded in the dataset)"
HV8US8,Hyperabundant black-tailed deer impact endangered Garry oak ecosystem floral and bumblebee communities,https://doi.org/10.1016/j.gecco.2022.e02237,2022,https://openalex.org/W4286675749,yes,0,0,0,0,0,0,0,0,0,
QOUIZX,Interannual climatic sensitivity of surface energy flux densities and evapotranspiration in a disturbed and rewetted ombrotrophic bog,https://doi.org/10.1016/j.agrformet.2025.110501,2025,https://openalex.org/W4408853494,yes,0,0,0,0,0,0,0,0,0,
A4ZMZ1,Nomadic breeders Snowy Owls (<i>Bubo scandiacus</i>) do not use stopovers to sample the summer environment,https://doi.org/10.1111/ibi.12950,2021,https://openalex.org/W3136340045,yes,0.5,0,0,0,0,0,0,0,0.5,"authors provide the study codes for the movebank datasets they used, but I tried to download data from movebank and it said ""no data available for download"". Gave 0.5 for findable because there was a link and I was able to use the info to lookup the studies (but not download the data)"
F75IPQ,Summer distribution and habitat preference of beluga whale social groups in the Eastern Beaufort Sea,https://doi.org/10.1139/as-2022-0035,2023,https://openalex.org/W4322622986,yes,0,0,0,0,0,0,0,0,0,
QQ86EY,"Overview of Brine-Hosted Lithium Mineral Resources, Distribution, and Genesis in the Western Canada Sedimentary Basin",https://doi.org/10.3749/2400035,2025,https://openalex.org/W4412735071,yes,0,0,0,0,0,0,0,0,0,
V0W1WV,Impact of water stress on &lt;i&gt;Phaeomoniella chlamydospora&lt;/i&gt; abundance and Petri disease symptom development in young grapevines,https://doi.org/10.20870/oeno-one.2025.59.1.8317,2025,https://openalex.org/W4406034533,yes,0,0,0,0,0,0,0,0,0,
GFVZEA,Modelling growing season carbon fluxes at a low-center polygon ecosystem in the Mackenzie River Delta,https://doi.org/10.1139/as-2022-0033,2023,https://openalex.org/W4377087162,yes,0,0,0,0,0,0,0,0,0,
FO2DED,Functional characteristics of zooplankton bioregions along the cross-shelf gradient,https://doi.org/10.1016/j.pocean.2025.103559,2025,https://openalex.org/W4413449454,yes,1,1,1,0.2,0,0.2,0.2,0.2,3.8,
JWDP8N,Combining camera trap surveys and IUCN range maps to improve knowledge of species distributions,https://doi.org/10.1111/cobi.14221,2023,https://openalex.org/W4388499228,yes,0,0,0,0,0,0,0,0,0,
XMPVDB,Investigating properties of sweet cherry (<i>Prunus avium</i>) flower buds that help promote freezing avoidance by supercooling,https://doi.org/10.1111/plb.13697,2024,https://openalex.org/W4401783365,yes,1,1,1,0.2,0,0,0,0,3.2,
W7GLF6,Estimating abundance of Eastern Canada-West Greenland bowhead whales using genetic mark-recapture analyses,https://doi.org/10.1016/j.gecco.2023.e02524,2023,https://openalex.org/W4378189281,yes,0,0,0,0,0,0,0,0,0,
VBVXBA,"Intertidal beach habitat suitability model for Pacific sand lance (<i>Ammodytes personatus</i>) in the Salish Sea, Canada",https://doi.org/10.1139/cjfas-2021-0335,2022,https://openalex.org/W4281254065,yes,0,0,0,0,0,0,0,0,0,
3KDYC4,"The cold tolerance of the terrestrial slug, Ambigolimax valentianus",https://doi.org/10.1007/s00359-025-01730-z,2025,https://openalex.org/W4406274889,yes,1,1,1,0.2,0,0,0.2,0,3.4,
NQTETG,The fitness landscape of a community of DarwinŌĆÖs finches,https://doi.org/10.1093/evolut/qpad160,2023,https://openalex.org/W4386466865,yes,1,1,1,0.2,0.2,0,0,0.2,3.6,
TYO40B,Temporal and spatial evolution of bottom-water hypoxia in the St┬ĀLawrence estuarine system,https://doi.org/10.5194/bg-20-839-2023,2023,https://openalex.org/W4321787630,yes,0.5,0,0,0,0,0,0,0,0.5,followed what you suggested in the slack to give 0.5 for findable since there are some working links to some of the data
AKWYAK,"Weather and catchment morphology drive thermal regime variation among subarctic ponds, and possible effects on resident Arctic charr",https://doi.org/10.1007/s10452-026-10269-3,2026,https://openalex.org/W7135049694,yes,1,1,1,0.2,0,0,0,0.2,3.4,
7XDQWL,Individual Prey Specialization Drives PCBs in Icelandic Killer Whales,https://doi.org/10.1021/acs.est.0c08563,2021,https://openalex.org/W3137757793,no,0,0,0,0,0,0,0,0,0,
XPEDN0,Seasonal dynamics and optimal diagnostics of<i>Grapevine red blotch virus</i>in a British Columbian vineyard,https://doi.org/10.1080/07060661.2021.1993346,2021,https://openalex.org/W3205334821,yes,0,0,0,0,0,0,0,0,0,
3ZAMR4,A basic community dynamics experiment: Disentangling deterministic and stochastic processes in structuring ecological communities,https://doi.org/10.1002/ece3.9568,2022,https://openalex.org/W4310672748,no,1,1,1,0.2,0.2,0,0,0.2,3.6,
A8AS63,Strong scaleŌĆÉdependent relationships between fineŌĆÉroot function and soil properties uncovered with spatially coupled sampling,https://doi.org/10.1111/nph.70143,2025,https://openalex.org/W4409974870,yes,1,1,1,0,0.2,0,0.2,0,3.4,"gave 0 for file formats identified because it wasn't mentioned at all in the metadata .txt file provided, but the data are provided as a .csv (so maybe too harsh?)"
A415C6,Game over for gamefishes after zebra and quagga mussel invasion: not in prairie lakes?,https://doi.org/10.1139/cjfas-2025-0028,2025,https://openalex.org/W4417408600,yes,0,0,0,0,0,0,0,0,0,
LXXDPU,Movement ecology of endangered caribou during a <scp>COVID</scp>ŌĆÉ19 mediated pause in winter recreation,https://doi.org/10.1111/acv.12912,2023,https://openalex.org/W4387895246,yes,1,1,1,0,0,0.2,0,0.2,3.4,"there's metadata desribing the r scripts, but nothing about the data files"
2OLAHP,"Experimentally derived trophic enrichment and discrimination factors for Chinook salmon, <scp> <i>Oncorhynchus tshawytscha</i> </scp>",https://doi.org/10.1002/rcm.9092,2021,https://openalex.org/W3144995884,no,1,0,0,0,0,0,0,0,1,
QEJPFN,Plant-Pollinator Specialization: Origin and Measurement of Curvature,https://doi.org/10.1086/717677,2021,https://openalex.org/W3205813039,yes,1,1,1,0.2,0,0,0.2,0.2,3.6,"r scripts are listed in the README text but not included in the project download; variables are explained but the descriptions are quite short (I gave 0.2, but I  was torn on whether or not to)"
BHIRGB,Crowd-sourced observations of a polyphagous moth reveal evidence of allochronic speciation varying along a latitudinal gradient,https://doi.org/10.1371/journal.pone.0288415,2023,https://openalex.org/W4384161835,yes,1,1,1,0,0,0,0,0,3,"the wiki for the scripts folder mentions there's data cleaning scripts but there's no explanation of what scripts do what (and there's many of them), so I gave 0"
TLL4FA,"A new species of Sisyra Burmeister, 1839 (Neuroptera: Sisyridae) from Peru, with identification key to the Neotropical species of the genus",https://doi.org/10.1590/1806-9665-rbent-2022-0051,2022,https://openalex.org/W4312270662,yes,0.5,0,0,0,0,0,0,0,0.5,"The study being based on a physical specimen made this hard to score, but there's not explicit mention of how to access the specimen other than providing the ZooBankID, so I gave 0.5 for findable because the specimen comes up, but I wasn't able to load the pictures of the specimen so I gave 0 for everything else"
K7BFTR,Species Loss Scenarios Identify Canada's Northern Ecosystems as Disproportionately Vulnerable,https://doi.org/10.1111/jbi.70139,2026,https://openalex.org/W7123352686,yes,1,1,1,0,0,0,0,0.2,3.2,
V5D7TV,Patterns of functional diversity along latitudinal gradients of species richness in eleven fish families,https://doi.org/10.1111/geb.13633,2023,https://openalex.org/W4319834864,yes,1,1,1,0.2,0.2,0,0.2,0.2,3.8,
BRJRAI,Modeling Mycorrhizal Carbon Costs in Temperate Forests: The Impacts of Functional Diversity and Global Change Factors,https://doi.org/10.1029/2025jg009198,2025,https://openalex.org/W4415313587,yes,1,1,1,0.2,0.2,0,0,0.2,3.6,